Municipi;Codi;Altitud (m);Superfície (km²);Població
Sant Mateu de Bages;082299;569;102,92;637
Sant Miquel de Campmajor;171740;217;33,22;250
Sant Miquel de Fluvià;171753;28;3,51;840
Sant Mori;171766;51;7,53;164
Sant Pau de Segúries;171772;867;8,74;722
Sant Pere de Ribes;082310;44;40,80;32006
Sant Pere de Riudebitlles;082325;246;5,38;2495
Sant Pere de Torelló;082331;621;55,13;2596
Sant Pere de Vilamajor;082346;305;34,72;4923
Sant Pere Pescador;171788;5;18,45;2207
Sant Pere Sallavinera;081897;588;22,02;158
Sant Pol de Mar;082359;15;7,53;5810
Sant Quintí de Mediona;082362;326;13,84;2511
Sant Quirze de Besora;082378;587;8,12;2127
Sant Quirze del Vallès;082384;188;14,07;20110
Sant Quirze Safaja;082397;627;26,21;671
Sant Ramon;251945;641;18,53;495
Sant Sadurní d'Anoia;082401;162;18,96;12915
Sant Sadurní d'Osormort;082418;531;30,60;85
Sant Salvador de Guardiola;080983;334;37,15;3478
Sant Vicenç de Castellet;082628;176;17,13;10131
Sant Vicenç de Montalt;082649;143;8,05;6725
Sant Vicenç de Torelló;082652;555;7,04;2090
Sant Vicenç dels Horts;082634;22;9,12;28595
Santa Bàrbara;431384;79;28,15;3819
Santa Cecília de Voltregà;082439;519;8,63;192
Santa Coloma de Cervelló;082444;73;7,49;8334
Santa Coloma de Farners;171805;142;70,64;13874
Santa Coloma de Gramenet;082457;56;7,00;120903
Santa Coloma de Queralt;431397;674;33,85;2823
Santa Cristina d'Aro;171812;30;67,55;5833
Santa Eugènia de Berga;082460;538;7,01;2300
Santa Eulàlia de Riuprimer;082476;568;13,82;1486
Santa Eulàlia de Ronçana;082482;236;14,23;7916
Santa Fe del Penedès;082495;240;3,41;360
Santa Llogaia d'Àlguema;171827;42;1,94;400
Santa Margarida de Montbui;082508;316;27,59;10519
Santa Margarida i els Monjos;082515;161;17,16;7718
Santa Maria d'Oló;082589;542;66,21;1078
Santa Maria de Besora;082536;866;24,73;164
Santa Maria de Martorelles;082567;181;4,51;872
Santa Maria de Merlès;082554;532;52,08;175
Santa Maria de Miralles;082573;543;25,04;137
Santa Maria de Palautordera;082592;208;16,94;9994
Santa Oliva;431401;101;9,65;3679
Santa Pau;171848;496;49,01;1610
Santa Perpètua de Mogoda;082606;74;15,83;25936
Santa Susanna;082613;10;12,63;3999
Santpedor;081923;336;16,50;7707
Sarral;431423;467;52,39;1588
Sarrià de Ter;171864;70;4,16;5378
Sarroca de Bellera;252017;1002;87,51;114
Sarroca de Lleida;252000;201;42,18;381
Saus, Camallera i Llampaies;171870;86;11,36;908
Savallà del Comtat;431439;825;14,80;48
Secuita, la;431444;169;17,77;1828
Selva de Mar, la;171886;48;7,19;220
Selva del Camp, la;431457;246;35,31;5839
Senan;431460;652;11,70;46
Sénia, la;430445;369;108,41;5618
Senterada;252022;729;34,45;157
Sentiu de Sió, la;250352;281;29,62;454
Sentmenat;082671;207;28,80;9523
Serinyà;171903;188;17,38;1196
Seròs;252043;103;85,75;1890
Serra de Daró;171910;15;7,91;231
Setcases;171925;1265;49,12;192
Seu d'Urgell, la;252038;691;15,45;12759
Seva;082690;663;30,40;3801
Sidamon;252056;232;8,12;769
Sils;171931;76;29,91;6706
Sitges;082704;10;43,85;32496
Siurana;170524;33;10,53;177
Sobremunt;082711;881;13,80;101
Soleràs, el;252069;381;12,23;317
Solivella;431476;489;21,37;627
Solsona;252075;664;17,70;9393
Sora;082726;716;31,71;219
Soriguera;252081;1258;106,39;447
Sort;252094;692;105,05;2258
Soses;252108;118;30,16;1870
Subirats;082732;243;55,89;3287
Sudanell;252115;152;8,69;897
Sunyer;252120;211;12,66;306
Súria;082747;326;23,60;6072
Susqueda;171946;816;50,61;95
Tagamanent;082763;354;43,31;339
Talamanca;082779;552;29,43;212
Talarn;252154;572;27,95;541
Talavera;252167;791;30,11;285
Tallada d'Empordà, la;171959;20;16,56;476
Taradell;082785;623;26,48;6828
Tarragona;431482;68;57,89;141018
Tàrrega;252173;373;88,36;18570
Tarrés;252189;578;13,01;125
Tarroja de Segarra;252192;460;7,61;172
Tavèrnoles;082750;537;18,78;341
Tavertet;082802;869;32,49;131
Teià;082819;128;6,63;6812
Térmens;252206;208;27,54;1344
Terrades;171962;228;20,96;342
Terrassa;082798;277;70,16;228294
Tiana;082824;136;7,95;9323
Tírvia;252213;991;8,50;144
Tiurana;252228;387;15,86;67
Tivenys;431495;13;53,54;937
Tivissa;431508;309;209,43;1624
Tona;082830;596;16,54;8499
Torà;252234;448;93,31;1253
Tordera;082845;34;83,97;18795
Torelló;082858;508;13,00;15107
Torms, els;252249;476;13,75;138
Tornabous;252252;289;24,17;842
Torre de Cabdella, la;252271;1075;165,27;787
Torre de Claramunt, la;082861;363;15,02;4115
Torre de Fontaubella, la;431515;369;7,11;119
Torre de l'Espanyol, la;431520;164;27,90;630
Torrebesses;252265;287;27,45;273
Torredembarra;431536;15;8,71;17953
Torrefarrera;252287;214;23,49;4904
Torrefeta i Florejacs;259078;475;88,91;608
Torregrossa;252304;232;40,52;2227
Torrelameu;252311;201;10,93;799
Torrelavit;082877;202;23,65;1509
Torrelles de Foix;082883;367;36,72;2662
Torrelles de Llobregat;082896;126;13,56;6136
Torrent;171978;44;7,96;174
Torres de Segre;252326;119;50,61;2268
Torre-serona;252332;197;5,89;440
Torroella de Fluvià;171984;9;16,85;770
Torroella de Montgrí;171997;31;65,93;12421
Torroja del Priorat;431541;332;13,16;137
Tortellà;172001;276;11,07;828
Tortosa;431554;12;218,51;35513
Toses;172018;1444;57,88;192
Tossa de Mar;172023;5;38,58;6241
Tremp;252347;468;302,82;6056
Ullà;172044;21;7,29;1221
Ullastrell;082900;342;7,31;2179
Ullastret;172057;49;11,09;266
Ulldecona;431567;133;126,88;6598
Ulldemolins;431573;650;38,17;414
Ultramort;172039;30;4,35;214
Urús;172060;1263;17,42;207
Vacarisses;082917;382;40,70;7549
Vajol, la;170144;546;4,71;98
Vall d'en Bas, la;172076;510;90,67;3221
Vall de Bianya, la;172082;367;93,62;1347
Vall de Boí, la;250432;1111;219,49;1119
Vall de Cardós;259010;898;56,20;381
Vallbona d'Anoia;082922;289;6,45;1405
Vallbona de les Monges;252385;481;34,14;221
Vallcebre;082938;1123;27,99;272
Vallclara;431589;625;13,63;89
Vallfogona de Balaguer;252402;235;26,97;2016
Vallfogona de Ripollès;171707;956;39,20;222
Vallfogona de Riucorb;431592;573;10,94;98
Vallgorguina;082943;222;22,13;3203
Vallirana;082956;177;23,88;15952
Vall-llobrega;172095;49;5,45;912
Vallmoll;431606;161;16,68;1937
Vallromanes;082969;153;10,65;2749
Valls;431613;215;55,28;25085
Valls d'Aguilar, les;259062;669;123,81;269
Valls de Valira, les;252398;740;171,25;810
Vandellòs i l'Hospitalet de l'Infant;431628;281;102,67;7082
Vansa i Fórnols, la;259097;989;106,08;189
Veciana;082975;564;38,90;175
Vendrell, el;431634;49;36,80;40526
Ventalló;172109;28;25,05;891
Verdú;252424;434;35,79;885
Verges;172116;23;9,70;1180
Vespella de Gaià;431649;191;18,04;504
Vic;082981;484;30,58;49333
Vidrà;172121;982;34,39;169
Vidreres;172137;93;48,05;8655
Vielha e Mijaran;252430;974;211,74;5793
Vilabella;431652;254;18,19;725
Vilabertran;172142;19;2,29;987
Vilablareix;172155;99;6,17;3772
Vilada;082994;757;22,34;443
Viladamat;172174;13;11,73;492
Viladasens;172168;96;15,74;212
Viladecans;083015;18;20,40;67179
Viladecavalls;083008;274;20,09;7790
Vilademuls;172180;120;61,54;865
Viladrau;172207;821;50,73;1175
Vilafant;172214;54;8,36;5696
Vilafranca del Penedès;083054;223;19,65;41541
Vilagrassa;252445;355;19,87;633
Vilajuïga;172235;31;13,13;1183
Vilalba dels Arcs;431750;450;67,25;614
Vilalba Sasserra;083067;200;6,05;780
Vilaller;252458;981;59,23;506
Vilallonga de Ter;172240;1067;64,20;395
Vilallonga del Camp;431665;124;9,04;2462
Vilamacolum;172253;5;5,57;373
Vilamalla;172266;45;8,77;1220
Vilamaniscle;172272;169;5,46;202
Vilamòs;252477;1255;15,44;176
Vilanant;172288;98;16,87;402
Vilanova d'Escornalbou;431671;226;17,16;611
Vilanova de Bellpuig;252483;290;13,98;1168
Vilanova de l'Aguda;252496;409;53,68;195
Vilanova de la Barca;252542;195;21,55;1100
Vilanova de Meià;252509;633;105,24;462
Vilanova de Prades;431687;893;21,51;110
Vilanova de Sau;083036;558;58,84;317
Vilanova de Segrià;252516;255;8,51;1057
Vilanova del Camí;083020;302;10,28;12853
Vilanova del Vallès;089024;91;15,20;5644
Vilanova i la Geltrú;083073;22;33,99;70293
Vilaplana;431690;366;23,20;560
Vila-rodona;431704;259;33,11;1379
Vila-sacra;172305;16;6,03;815
Vila-sana;252521;249;19,10;744
Vila-seca;431711;45;21,64;24061
Vilassar de Dalt;082140;142;8,86;9299
Vilassar de Mar;082191;10;4,00;21169
Vilaür;172229;65;5,49;170
Vilaverd;431726;269;12,61;470
Vilella Alta, la;431732;327;5,15;130
Vilella Baixa, la;431747;218;5,62;206
Vilobí d'Onyar;172333;122;32,59;3304
Vilobí del Penedès;083041;286;9,34;1149
Vilopriu;172327;82;16,38;213
Vilosell, el;252537;665;18,88;192
Vimbodí i Poblet;431763;496;66,09;893
Vinaixa;252555;479;37,59;449
Vinebre;431779;34;26,44;426
Vinyols i els Arcs;431785;95;10,83;2425
Viver i Serrateix;083089;729;66,80;173
Xerta;430521;12;32,39;1153

