Municipi;Codi;Altitud (m);Superfície (km²);Població
Campdevànol;170366;738;32,62;3250
Campelles;170372;1303;18,64;165
Campins;080399;321;7,29;609
Campllong;170388;113;8,59;544
Camprodon;170391;947;103,38;2521
Canejan;250637;906;48,32;101
Canet d'Adri;170405;217;44,41;744
Canet de Mar;080403;15;5,56;15135
Canonja, la;439076;50;7,32;5936
Canovelles;080410;175;6,66;17264
Cànoves i Samalús;080425;346;29,19;3309
Cantallops;170412;200;19,62;346
Canyelles;080431;142;14,23;5360
Capafonts;430398;751;13,35;106
Capçanes;430402;223;22,49;426
Capellades;080446;317;2,94;5558
Capmany;170427;107;26,40;691
Capolat;080459;1279;34,13;92
Cardedeu;080462;193;12,10;19091
Cardona;080478;507;66,70;4566
Carme;080484;351;11,68;819
Caseres;430419;324;42,90;240
Cassà de la Selva;170448;137;45,21;10941
Casserres;080497;611;29,46;1675
Castell d'Aro, Platja d'Aro i s'Agaró;170486;5;21,74;12773
Castell de l'Areny;080575;954;24,35;69
Castell de Mur;259046;532;62,42;175
Castellar de la Ribera;250642;657;60,19;144
Castellar de n'Hug;080522;1395;47,12;164
Castellar del Riu;080500;920;32,74;163
Castellar del Vallès;080517;331;44,91;25301
Castellbell i el Vilar;080538;178;28,47;4130
Castellbisbal;080543;132;31,03;12965
Castellcir;080556;773;34,18;778
Castelldans;250674;353;65,10;891
Castelldefels;080569;3;12,87;69196
Castellet i la Gornal;080581;137;47,48;2665
Castellfollit de la Roca;170464;296;0,73;947
Castellfollit de Riubregós;080608;467;26,21;151
Castellfollit del Boix;080594;700;58,90;460
Castellgalí;080615;266;17,21;2339
Castellnou de Bages;080620;469;29,16;1430
Castellnou de Seana;250680;269;16,11;728
Castelló d'Empúries;170470;17;42,30;12132
Castelló de Farfanya;250693;358;52,62;543
Castellolí;080636;415;25,28;659
Castellserà;250707;267;15,84;992
Castellterçol;080641;726;31,90;2766
Castellvell del Camp;430424;219;5,21;2991
Castellví de la Marca;080654;198;28,40;1714
Castellví de Rosanes;080667;178;16,38;2098
Catllar, el;430430;59;26,43;5215
Cava;250714;1335;42,19;40
Cellera de Ter, la;171899;166;14,63;2013
Celrà;170499;71;19,53;5553
Centelles;080673;496;15,18;7771
Cercs;082687;650;47,35;1193
Cerdanyola del Vallès;082665;82;30,56;57831
Cervelló;080689;122;24,10;9633
Cervera;250729;548;55,19;9553
Cervià de les Garrigues;250735;444;34,20;640
Cervià de Ter;170502;45;9,90;997
Cistella;170519;130;25,55;294
Ciutadilla;250740;519;17,03;194
Clariana de Cardener;250753;500;40,78;160
Cogul, el;250766;279;17,51;162
Colera;170545;10;24,35;490
Coll de Nargó;250772;573;151,41;583
Collbató;080692;388;18,07;4847
Colldejou;430458;431;14,48;161
Collsuspina;080706;901;15,08;390
Colomers;170558;41;4,35;205
Coma i la Pedra, la;251636;1004;60,62;283
Conca de Dalt;251615;507;166,48;435
Conesa;430461;705;29,02;113
Constantí;430477;81;30,87;6921
Copons;080713;432;18,66;352
Corbera d'Ebre;430483;337;53,09;1016
Corbera de Llobregat;080728;342;18,41;15783
Corbins;250788;211;21,01;1483
Corçà;170577;43;16,29;1282
Cornellà de Llobregat;080734;27;6,99;91196
Cornellà del Terri;170561;96;27,71;2394
Cornudella de Montsant;430496;533;63,50;1033
Creixell;430509;48;10,46;4169
Crespià;170583;138;11,38;251
Cruïlles, Monells i Sant Sadurní de l'Heura;179011;110;99,84;1323
Cubelles;080749;12;13,49;17300
Cubells;250791;499;39,17;342
Cunit;430516;10;9,74;15750
Darnius;170600;193;34,93;549
Das;170617;1219;14,58;270
Deltebre;439018;6;107,44;11941
Dosrius;080752;147;40,73;6152
Duesaigües;430537;268;13,58;223
Escala, l';170622;14;16,31;10630
Esparreguera;080765;187;27,40;22499
Espinelves;170638;752;17,43;254
Espluga Calba, l';250812;434;21,53;332
Espluga de Francolí, l';430542;411;56,97;3850
Esplugues de Llobregat;080771;110;4,60;47700
Espolla;170643;124;43,55;412
Esponellà;170656;142;16,06;438
Espot;250827;1318;97,30;379
Espunyola, l';080787;803;35,46;263
Esquirol, l';082541;693;61,80;2275
Estamariu;250886;1084;21,16;133
Estany, l';080790;870;10,25;401
Estaràs;250851;596;20,99;162
Esterri d'Àneu;250864;957;8,49;920
Esterri de Cardós;250870;1212;16,55;63
Falset;430555;364;31,62;2875
Far d'Empordà, el;170059;44;9,00;626
Farrera;250899;1294;61,87;128
Fatarella, la;430568;487;56,52;856
Febró, la;430574;754;16,08;36
Figaró-Montmany;081347;330;14,99;1190
Fígols;080804;1154;29,31;42
Fígols i Alinyà;259084;602;101,80;244
Figuera, la;430580;576;18,69;123
Figueres;170669;39;19,30;48670
Figuerola del Camp;430593;474;22,72;346
Flaçà;170675;34;6,53;1145
Flix;430607;47;116,90;3323
Floresta, la;250925;316;5,46;164
Fogars de la Selva;080826;45;32,12;1678
Fogars de Montclús;080811;386;39,72;503
Foixà;170681;85;18,80;291
Folgueroles;080832;552;10,47;2262
Fondarella;250931;243;5,43;807
Fonollosa;080847;525;51,67;1584
Fontanals de Cerdanya;170694;1180;28,65;531
Fontanilles;170708;29;9,28;168
Fontcoberta;170715;207;17,28;1501
Font-rubí;080850;319;37,42;1432
Foradada;250946;455;28,55;200
Forallac;179026;51;50,63;1761
Forès;430614;866;16,03;40
Fornells de la Selva;170736;102;11,86;2780
Fortià;170741;8;10,76;801
Franqueses del Vallès, les;080863;181;29,14;20667
Freginals;430629;126;17,59;425
Fuliola, la;250962;275;11,05;1249
Fulleda;250978;581;16,18;92
Gaià;080902;481;39,48;178
Galera, la;430635;112;27,47;717
Gallifa;080879;502;16,33;174
Gandesa;430640;363;71,15;3160
Garcia;430653;73;52,37;540
Garidells, els;430666;132;3,07;204
Garriga, la;080885;252;18,80;17277
Garrigàs;170754;101;19,89;470
Garrigoles;170767;92;9,40;186
Garriguella;170773;56;21,01;967
Gavà;080898;9;30,75;47961
Gavet de la Conca;250984;421;90,90;262
Gelida;080919;196;26,70;8078
Ger;170789;1135;33,38;494
Gimenells i el Pla de la Font;259123;258;55,84;1095
Ginestar;430672;26;15,84;800
Girona;170792;70;39,12;106476
Gironella;080924;469;6,78;5072
Gisclareny;080930;1340;36,47;30
Godall;430688;168;33,62;621
Golmés;250997;275;16,62;1913
Gombrèn;170806;919;43,26;197
Gósol;251001;1423;56,29;214
Granada, la;080945;272;6,52;2263
Granadella, la;251018;528;88,70;762
Granera;080958;782;23,73;83
Granja d'Escarp, la;251023;78;38,51;941
Granollers;080961;145;14,87;63897
Granyanella;251039;508;24,35;140
Granyena de les Garrigues;251057;366;20,47;164
Granyena de Segarra;251044;636;16,30;147
