"Any","Demarcació","Tipus de transport","Línia","Origen línia [Codi Municipi]","Origen línia [Municipi]","Origen línia [Codi Comarca]","Origen línia [Comarca]","Origen línia [Àmbit funcional]","Final línia [Codi Municipi]","Final línia [Municipi]","Final línia [Codi Comarca]","Final línia [Comarca]","Final línia [Àmbit funcional]","Operadora","Passatgers","Longitud WGS84 inici [Municipi]","Latitud WGS84 inici [Municipi]","Georeferència inici [Municipi]","Longitud WGS84 final [Municipi]","Latitud WGS84 final [Municipi]","Georeferència final [Municipi]"
"2023","Barcelona","Resta de transport a la demanda","Altres TAD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","777",,,,,,
"2023","Girona","Resta de transport a la demanda","Altres TAD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","23.402",,,,,,
"2023","Lleida","Resta de transport a la demanda","Altres TAD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","23.132",,,,,,
"2023","Tarragona","Resta de transport a la demanda","Altres TAD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","18.704",,,,,,
"2023","Tarragona","Resta de busos interurbans","Altres interurbans","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7.915.250",,,,,,
"2023","Barcelona","Resta de busos interurbans","Altres interurbans","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","29.509.852",,,,,,
"2023","Girona","Resta de busos interurbans","Altres interurbans","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8.781.330",,,,,,
"2023","Lleida","Resta de busos interurbans","Altres interurbans","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.202.118",,,,,,
"2023","Barcelona","Línia exprés - Corredor","e22","080193","Barcelona","13","Barcelonès","Metropolità","081136","Manresa","7","Bages","Comarques Centrals","Hispano Igualadina","254.033","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.826928753","41.72305529","POINT (1.826928753 41.72305529)"
"2023","Barcelona","Línia exprés - Corredor","e12","080193","Barcelona","13","Barcelonès","Metropolità","082981","Vic","24","Osona","Comarques Centrals","Sagalés","578.394","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","2.254264193","41.92996761","POINT (2.254264193 41.92996761)"
"2023","Tarragona","Línia exprés - Corredor","e7","431482","Tarragona","36","Tarragonès","Camp de Tarragona","430385","Cambrils","8","Baix Camp","Camp de Tarragona","Plana","258.450","1.254358212","41.11743424","POINT (1.254358212 41.11743424)","1.057802277","41.07103393","POINT (1.057802277 41.07103393)"
"2023","Barcelona","Línia exprés - Corredor","e24","080193","Barcelona","13","Barcelonès","Metropolità","080765","Esparreguera","11","Baix Llobregat","Metropolità","Hispano Igualadina","29.486","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.870708537","41.53896619","POINT (1.870708537 41.53896619)"
"2023","Girona","Línia exprés - Corredor","e2","170792","Girona","20","Gironès","Comarques Gironines","171997","l'Estartit (per Torroella)","10","Baix Empordà","Comarques Gironines","AMPSA","136.908","2.824865628","41.98315544","POINT (2.824865628 41.98315544)","3.12637678","42.04101493","POINT (3.12637678 42.04101493)"
"2023","Girona","Línia exprés - Corredor","e4","170792","Girona","20","Gironès","Comarques Gironines","170950","Lloret de Mar (per Vidreres)","34","Selva","Comarques Gironines","Sagalés","375.986","2.824865628","41.98315544","POINT (2.824865628 41.98315544)","2.847602852","41.69861565","POINT (2.847602852 41.69861565)"
"2023","Lleida","Línia exprés - Corredor","e1","251207","Lleida","33","Segrià","Ponent","250729","Cervera","32","Segarra","Ponent","ALSA","261.220","0.626842574","41.61473059","POINT (0.626842574 41.61473059)","1.27125747","41.66580832","POINT (1.27125747 41.66580832)"
"2023","Girona","Línia exprés - Corredor","e3","170792","Girona","20","Gironès","Comarques Gironines","171175","Palafrugell (per Palamós)","10","Baix Empordà","Comarques Gironines","SARFA","746.081","2.824865628","41.98315544","POINT (2.824865628 41.98315544)","3.164065976","41.91495458","POINT (3.164065976 41.91495458)"
"2023","Barcelona","Línia exprés - Corredor","e23","080193","Barcelona","13","Barcelonès","Metropolità","081477","Olesa de Montserrat","11","Baix Llobregat","Metropolità","Hispano Igualadina","136.451","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.893900541","41.54350594","POINT (1.893900541 41.54350594)"
"2023","Barcelona","Línia exprés - Corredor","e2.2","080193","Barcelona","13","Barcelonès","Metropolità","082798","Terrassa","40","Vallès Occidental","Metropolità","Marfina","67.008","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","2.010294804","41.56295878","POINT (2.010294804 41.56295878)"
"2023","Lleida","Línia exprés - Corredor","e2","251207","Lleida","33","Segrià","Ponent","250138","Alfarràs","33","Segrià","Ponent","Gamón","406.869","0.626842574","41.61473059","POINT (0.626842574 41.61473059)","0.56965673","41.82999269","POINT (0.56965673 41.82999269)"
"2023","Lleida","Línia exprés - Corredor","e3","251207","Lleida","33","Segrià","Ponent","250117","Alcarràs","33","Segrià","Ponent","Gamón","200.486","0.626842574","41.61473059","POINT (0.626842574 41.61473059)","0.524318402","41.56287362","POINT (0.524318402 41.56287362)"
"2023","Barcelona","Línia exprés - Corredor","e3","080193","Barcelona","13","Barcelonès","Metropolità","082665","Cerdanyola UAB","40","Vallès Occidental","Metropolità","Marfina","1.697.947","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","2.140715332","41.49102342","POINT (2.140715332 41.49102342)"
"2023","Lleida","Línia exprés - Corredor","e4","251207","Lleida","33","Segrià","Ponent","250236","Alpicat","33","Segrià","Ponent","Autocars Morell","167.504","0.626842574","41.61473059","POINT (0.626842574 41.61473059)","0.55507915","41.66636078","POINT (0.55507915 41.66636078)"
"2023","Barcelona","Línia exprés - Corredor","e4","080193","Barcelona","13","Barcelonès","Metropolità","081803","Ripollet","40","Vallès Occidental","Metropolità","R. Font","1.244.648","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","2.15349201","41.49650163","POINT (2.15349201 41.49650163)"
"2023","Barcelona","Línia exprés - Corredor","e20","080193","Barcelona","13","Barcelonès","Metropolità","082896","Torrelles de Llobregat (per St. Vicenç dels Horts)","11","Baix Llobregat","Metropolità","Soler i Sauret","962.467","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.981109195","41.35904782","POINT (1.981109195 41.35904782)"
"2023","Barcelona","Línia exprés - Corredor","e2.1","080193","Barcelona","13","Barcelonès","Metropolità","082798","Terrassa","40","Vallès Occidental","Metropolità","Marfina","153.621","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","2.010294804","41.56295878","POINT (2.010294804 41.56295878)"
"2023","Barcelona","Línia exprés - Corredor","e5","080193","Barcelona","13","Barcelonès","Metropolità","081022","Igualada","6","Anoia","Penedès","Hispano Igualadina","968.303","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.617581375","41.57871621","POINT (1.617581375 41.57871621)"
"2023","Lleida","Línia exprés - Corredor","e5","251207","Lleida","33","Segrià","Ponent","250194","Almacelles","33","Segrià","Ponent","Gamón","169.852","0.626842574","41.61473059","POINT (0.626842574 41.61473059)","0.436732426","41.73158197","POINT (0.436732426 41.73158197)"
"2023","Barcelona","Línia exprés - Corredor","e19","080193","Barcelona","13","Barcelonès","Metropolità","080039","Alella","21","Maresme","Metropolità","Sagalés","295.932","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","2.295144857","41.49384008","POINT (2.295144857 41.49384008)"
"2023","Barcelona","Línia exprés - Corredor","e6","080193","Barcelona","13","Barcelonès","Metropolità","083054","Vilafranca del Penedès","3","Alt Penedès","Penedès","Hispano Igualadina","398.932","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.697222865","41.34649761","POINT (1.697222865 41.34649761)"
"2023","Lleida","Línia exprés - Corredor","e6","251207","Lleida","33","Segrià","Ponent","250582","Les Borges Blanques","18","Garrigues","Ponent","ALSA","169.683","0.626842574","41.61473059","POINT (0.626842574 41.61473059)","0.86916301","41.5206285","POINT (0.86916301 41.5206285)"
"2023","Barcelona","Línia exprés - Corredor","e18","080193","Barcelona","13","Barcelonès","Metropolità","082401","Sant Sadurní d'Anoia","3","Alt Penedès","Penedès","Hispano Llacunense","276.336","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.787300544","41.42421161","POINT (1.787300544 41.42421161)"
"2023","Barcelona","Línia exprés - Corredor","e7-e21-e26","080193","Barcelona","13","Barcelonès","Metropolità",,"Vall de Tenes","41","Vallès Oriental","Vall de Tenes","Sagalés","2.281.750","2.177241106","41.38240539","POINT (2.177241106 41.38240539)",,,
"2023","Tarragona","Línia exprés - Corredor","e1","431482","Tarragona","36","Tarragonès","Camp de Tarragona","431634","Vendrell (per Torredembarra)","12","Baix Penedès","Penedès","Autocars del Penedès","635.998","1.254358212","41.11743424","POINT (1.254358212 41.11743424)","1.53509551","41.22012232","POINT (1.53509551 41.22012232)"
"2023","Barcelona","Línia exprés - Corredor","e8","080193","Barcelona","13","Barcelonès","Metropolità","080728","Corbera de Llobregat","11","Baix Llobregat","Metropolità","Autocorb","1.258.795","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.927701004","41.41610239","POINT (1.927701004 41.41610239)"
"2023","Girona","Línia exprés - Corredor","e1","170792","Girona","20","Gironès","Comarques Gironines","171143","Olot","19","Garrotxa","Comarques Gironines","TEISA","125.302","2.824865628","41.98315544","POINT (2.824865628 41.98315544)","2.484354623","42.18318266","POINT (2.484354623 42.18318266)"
"2023","Barcelona","Línia exprés - Corredor","e17","080193","Barcelona","13","Barcelonès","Metropolità","082956","Vallirana","11","Baix Llobregat","Metropolità","Soler i Sauret","1.504.611","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.931881445","41.38805611","POINT (1.931881445 41.38805611)"
"2023","Tarragona","Línia exprés - Corredor","e2","431482","Tarragona","36","Tarragonès","Camp de Tarragona","431613","Valls","1","Alt Camp","Camp de Tarragona","Plana","154.592","1.254358212","41.11743424","POINT (1.254358212 41.11743424)","1.247623975","41.28430482","POINT (1.247623975 41.28430482)"
"2023","Barcelona","Línia exprés - Corredor","e8-nit","080193","Barcelona","13","Barcelonès","Metropolità","080728","Corbera de Llobregat","11","Baix Llobregat","Metropolità","Autocorb","5.828","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.927701004","41.41610239","POINT (1.927701004 41.41610239)"
"2023","Girona","Línia exprés - Corredor","e6","170669","Figueres","2","Alt Empordà","Comarques Gironines","171523","Roses","2","Alt Empordà","Comarques Gironines","SARFA","569.262","2.960886614","42.2672096","POINT (2.960886614 42.2672096)","3.174927346","42.26340849","POINT (3.174927346 42.26340849)"
"2023","Barcelona","Línia exprés - Corredor","e1","080193","Barcelona","13","Barcelonès","Metropolità","081878","Sabadell","40","Vallès Occidental","Metropolità","Marfina","242.798","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","2.108551925","41.54637803","POINT (2.108551925 41.54637803)"
"2023","Tarragona","Línia exprés - Corredor","e3","431554","Tortosa","9","Baix Ebre","Terres de l'Ebre","430043","Alcanar","22","Montsià","Terres de l'Ebre","HIFE","463.633","0.520955976","40.810905","POINT (0.520955976 40.810905)","0.481966932","40.5428638","POINT (0.481966932 40.5428638)"
"2023","Barcelona","Línia exprés - Corredor","e16","080193","Barcelona","13","Barcelonès","Metropolità","NA","Sitges","17","Garraf","Penedès","Cintoi","345.390","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.811838248","41.23508519","POINT (1.811838248 41.23508519)"
"2023","Barcelona","Línia exprés - Corredor","e9","080193","Barcelona","13","Barcelonès","Metropolità","080333","Caldes de Montbui","41","Vallès Oriental","Metropolità","Sagalés","2.329.486","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","2.162240112","41.63459072","POINT (2.162240112 41.63459072)"
"2023","Girona","Línia exprés - Corredor","e5","170792","Girona","20","Gironès","Comarques Gironines","170097","Arbúcies (per Sta. Coloma Farners i St. Hilari)","34","Selva","Comarques Gironines","TEISA","266.085","2.824865628","41.98315544","POINT (2.824865628 41.98315544)","2.513754625","41.81600431","POINT (2.513754625 41.81600431)"
"2023","Barcelona","Línia exprés - Corredor","e10","080193","Barcelona","13","Barcelonès","Metropolità","082671","Sentmenat","40","Vallès Occidental","Metropolità","Sagalés","678.796","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","2.136193226","41.60925884","POINT (2.136193226 41.60925884)"
"2023","Tarragona","Línia exprés - Corredor","e4","431482","Tarragona","36","Tarragonès","Camp de Tarragona","431233","Reus","8","Baix Camp","Camp de Tarragona","Hispano Igualadina","1.138.673","1.254358212","41.11743424","POINT (1.254358212 41.11743424)","1.108491969","41.15501639","POINT (1.108491969 41.15501639)"
"2023","Barcelona","Línia exprés - Corredor","e15","080193","Barcelona","13","Barcelonès","Metropolità","NA","Vilanova i la Geltrú","17","Garraf","Penedès","Cintoi","653.818","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.726180234","41.22411114","POINT (1.726180234 41.22411114)"
"2023","Barcelona","Línia exprés - Corredor","e11.1","080193","Barcelona","13","Barcelonès","Metropolità","081213","Mataró","21","Maresme","Metropolità","Casas","1.119.634","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","2.444896864","41.5398099","POINT (2.444896864 41.5398099)"
"2023","Tarragona","Línia exprés - Corredor","e5","431233","Reus","8","Baix Camp","Camp de Tarragona","439057","Salou","36","Tarragonès","Camp de Tarragona","Plana","508.069","1.108491969","41.15501639","POINT (1.108491969 41.15501639)","1.133565772","41.08117674","POINT (1.133565772 41.08117674)"
"2023","Barcelona","Línia exprés - Corredor","e14","080193","Barcelona","13","Barcelonès","Metropolità","NA","Sant Pere de Ribes","17","Garraf","Penedès","Cintoi","399.107","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.772114573","41.26230332","POINT (1.772114573 41.26230332)"
"2023","Barcelona","Línia exprés - Corredor","e11.2","080193","Barcelona","13","Barcelonès","Metropolità","081213","Mataró Nord","21","Maresme","Metropolità","Casas","696.307","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","2.444896864","41.5398099","POINT (2.444896864 41.5398099)"
"2023","Tarragona","Línia exprés - Corredor","e6","431482","Tarragona","36","Tarragonès","Camp de Tarragona","439057","Salou (per Vila-Seca)","36","Tarragonès","Camp de Tarragona","Plana","310.699","1.254358212","41.11743424","POINT (1.254358212 41.11743424)","1.133565772","41.08117674","POINT (1.133565772 41.08117674)"
"2023","Barcelona","Línia exprés - Corredor","e13","081213","Mataró","21","Maresme","Metropolità","081878","Sabadell (per Granollers)","40","Vallès Occidental","Metropolità","Sagalés","823.645","2.444896864","41.5398099","POINT (2.444896864 41.5398099)","2.108551925","41.54637803","POINT (2.108551925 41.54637803)"
"2023","Lleida","Clic.cat","Les Garrigues","250582","Les Borges Blanques","18","Garrigues","Ponent","252265","Torrebesses","33","Segrià","Ponent","ALSA","21.470","0.867697307","41.51864569","POINT (0.867697307 41.51864569)","0.594026858","41.42626107","POINT (0.594026858 41.42626107)"
"2023","Barcelona","Clic.cat","Alta Segarra","080312","Calaf","6","Anoia","Comarques Centrals","082286","Sant Martí Sesgueioles","6","Anoia","Comarques Centrals","Mancomunitat Alta Segarra","2.846","1.511278933","41.73406648","POINT (1.511278933 41.73406648)","1.488163253","41.7020122","POINT (1.488163253 41.7020122)"
"2023","Girona","Clic.cat","Garrotxa","171143","Olot","19","Garrotxa","Comarques Gironines","172076","La Vall d'en Bas","19","Garrotxa","Comarques Gironines","TEISA","5.363","2.484354623","42.18318266","POINT (2.484354623 42.18318266)","2.459160667","42.11769812","POINT (2.459160667 42.11769812)"
"2023","Barcelona","Clic.cat","Les Comes","081022","Igualada","6","Anoia","Penedès","083020","Vilanova del Camí","6","Anoia","Penedès","TGO Masats","17.489","1.617581375","41.57871621","POINT (1.617581375 41.57871621)","1.634199238","41.57225855","POINT (1.634199238 41.57225855)"
"2023","Lleida","Clic.cat","Segarra","250729","Cervera","32","Segarra","Ponent","250729","Cervera","32","Segarra","Ponent","Cots Alsina","24.671","1.27125747","41.66580832","POINT (1.27125747 41.66580832)","1.27125747","41.66580832","POINT (1.27125747 41.66580832)"
"2023","Girona","Clic.cat","Pla de l'Estany","170157","Banyoles","28","Pla de l'Estany","Comarques Gironines","170715","Fontcoberta","28","Pla de l'Estany","Comarques Gironines","TEISA","2.473","2.763796776","42.11639909","POINT (2.763796776 42.11639909)","2.789517726","42.14286976","POINT (2.789517726 42.14286976)"
"2023","Girona","Clic.cat","Ripollès","170391","Camprodon","31","Ripollès","Comarques Gironines","170391","Camprodon","31","Ripollès","Comarques Gironines","TEISA","3.386","2.36507986","42.3128602","POINT (2.36507986 42.3128602)","2.36507986","42.3128602","POINT (2.36507986 42.3128602)"
"2023","Barcelona","Clic.cat","Can Sunyer","081960","Sant Andreu de la Barca","11","Baix Llobregat","Metropolità","080667","Castellví de Rosanes","11","Baix Llobregat","Metropolità","Soler i Sauret","17.489","1.971403604","41.44999966","POINT (1.971403604 41.44999966)","1.89951114","41.45005532","POINT (1.89951114 41.45005532)"
"2023","Girona","Clic.cat","Gironès","170792","Girona","20","Gironès","Comarques Gironines","171729","Sant Martí de Llémena","20","Gironès","Comarques Gironines","TEISA","4.691","2.824865628","41.98315544","POINT (2.824865628 41.98315544)","2.647611077","42.0361542","POINT (2.647611077 42.0361542)"
"2022","Tarragona","Resta de transport a la demanda","Altres TAD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","14.428",,,,,,
"2022","Lleida","Resta de transport a la demanda","Altres TAD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","27.889",,,,,,
"2022","Girona","Resta de transport a la demanda","Altres TAD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","25.015",,,,,,
"2022","Barcelona","Resta de transport a la demanda","Altres TAD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3.808",,,,,,
"2022","Girona","Resta de busos interurbans","Altres interurbans","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6.888.224",,,,,,
"2022","Tarragona","Resta de busos interurbans","Altres interurbans","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6.220.888",,,,,,
"2022","Lleida","Resta de busos interurbans","Altres interurbans","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","839.266",,,,,,
"2022","Barcelona","Resta de busos interurbans","Altres interurbans","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","23.476.342",,,,,,
"2022","Barcelona","Línia exprés - Corredor","e2.2","080193","Barcelona","13","Barcelonès","Metropolità","082798","Terrassa","40","Vallès Occidental","Metropolità","Marfina","38.886","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","2.010294804","41.56295878","POINT (2.010294804 41.56295878)"
"2022","Barcelona","Línia exprés - Corredor","e23","080193","Barcelona","13","Barcelonès","Metropolità","081477","Olesa de Montserrat","11","Baix Llobregat","Metropolità","Hispano Igualadina","118.266","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.893900541","41.54350594","POINT (1.893900541 41.54350594)"
"2022","Barcelona","Línia exprés - Corredor","e6","080193","Barcelona","13","Barcelonès","Metropolità","083054","Vilafranca del Penedès","3","Alt Penedès","Penedès","Hispano Igualadina","314.361","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.697222865","41.34649761","POINT (1.697222865 41.34649761)"
"2022","Tarragona","Línia exprés - Corredor","e4","431482","Tarragona","36","Tarragonès","Camp de Tarragona","431233","Reus","8","Baix Camp","Camp de Tarragona","Hispano Igualadina","988.563","1.254358212","41.11743424","POINT (1.254358212 41.11743424)","1.108491969","41.15501639","POINT (1.108491969 41.15501639)"
"2022","Lleida","Línia exprés - Corredor","e6","251207","Lleida","33","Segrià","Ponent","250582","Les Borges Blanques","18","Garrigues","Ponent","ALSA","127.325","0.626842574","41.61473059","POINT (0.626842574 41.61473059)","0.86916301","41.5206285","POINT (0.86916301 41.5206285)"
"2022","Girona","Línia exprés - Corredor","e3","170792","Girona","20","Gironès","Comarques Gironines","171175","Palafrugell (per Palamós)","10","Baix Empordà","Comarques Gironines","SARFA","643.661","2.824865628","41.98315544","POINT (2.824865628 41.98315544)","3.164065976","41.91495458","POINT (3.164065976 41.91495458)"
"2022","Lleida","Línia exprés - Corredor","e2","251207","Lleida","33","Segrià","Ponent","250138","Alfarràs","33","Segrià","Ponent","Gamón","321.312","0.626842574","41.61473059","POINT (0.626842574 41.61473059)","0.56965673","41.82999269","POINT (0.56965673 41.82999269)"
"2022","Lleida","Línia exprés - Corredor","e1","251207","Lleida","33","Segrià","Ponent","250729","Cervera","32","Segarra","Ponent","ALSA","262.344","0.626842574","41.61473059","POINT (0.626842574 41.61473059)","1.27125747","41.66580832","POINT (1.27125747 41.66580832)"
"2022","Barcelona","Línia exprés - Corredor","e11.1","080193","Barcelona","13","Barcelonès","Metropolità","081213","Mataró","21","Maresme","Metropolità","Casas","1.040.924","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","2.444896864","41.5398099","POINT (2.444896864 41.5398099)"
"2022","Barcelona","Línia exprés - Corredor","e18","080193","Barcelona","13","Barcelonès","Metropolità","082401","Sant Sadurní d'Anoia","3","Alt Penedès","Penedès","Hispano Llacunense","225.640","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.787300544","41.42421161","POINT (1.787300544 41.42421161)"
"2022","Girona","Línia exprés - Corredor","e4","170792","Girona","20","Gironès","Comarques Gironines","170950","Lloret de Mar (per Vidreres)","34","Selva","Comarques Gironines","Sagalés","304.656","2.824865628","41.98315544","POINT (2.824865628 41.98315544)","2.847602852","41.69861565","POINT (2.847602852 41.69861565)"
"2022","Barcelona","Línia exprés - Corredor","e7-e21-e26","080193","Barcelona","13","Barcelonès","Metropolità",,"Vall de Tenes","41","Vallès Oriental","Vall de Tenes","Sagalés","2.053.029","2.177241106","41.38240539","POINT (2.177241106 41.38240539)",,,
"2022","Tarragona","Línia exprés - Corredor","e6","431482","Tarragona","36","Tarragonès","Camp de Tarragona","439057","Salou (per Vila-Seca)","36","Tarragonès","Camp de Tarragona","Plana","293.867","1.254358212","41.11743424","POINT (1.254358212 41.11743424)","1.133565772","41.08117674","POINT (1.133565772 41.08117674)"
"2022","Girona","Línia exprés - Corredor","e1","170792","Girona","20","Gironès","Comarques Gironines","171143","Olot","19","Garrotxa","Comarques Gironines","TEISA","116.151","2.824865628","41.98315544","POINT (2.824865628 41.98315544)","2.484354623","42.18318266","POINT (2.484354623 42.18318266)"
"2022","Tarragona","Línia exprés - Corredor","e1","431482","Tarragona","36","Tarragonès","Camp de Tarragona","431634","Vendrell (per Torredembarra)","12","Baix Penedès","Penedès","Autocars del Penedès","566.075","1.254358212","41.11743424","POINT (1.254358212 41.11743424)","1.53509551","41.22012232","POINT (1.53509551 41.22012232)"
"2022","Tarragona","Línia exprés - Corredor","e5","431233","Reus","8","Baix Camp","Camp de Tarragona","439057","Salou","36","Tarragonès","Camp de Tarragona","Plana","500.027","1.108491969","41.15501639","POINT (1.108491969 41.15501639)","1.133565772","41.08117674","POINT (1.133565772 41.08117674)"
"2022","Girona","Línia exprés - Corredor","e2","170792","Girona","20","Gironès","Comarques Gironines","171997","l'Estartit (per Torroella)","10","Baix Empordà","Comarques Gironines","AMPSA","130.416","2.824865628","41.98315544","POINT (2.824865628 41.98315544)","3.12637678","42.04101493","POINT (3.12637678 42.04101493)"
"2022","Tarragona","Línia exprés - Corredor","e2","431482","Tarragona","36","Tarragonès","Camp de Tarragona","431613","Valls","1","Alt Camp","Camp de Tarragona","Plana","152.851","1.254358212","41.11743424","POINT (1.254358212 41.11743424)","1.247623975","41.28430482","POINT (1.247623975 41.28430482)"
"2022","Barcelona","Línia exprés - Corredor","e24","080193","Barcelona","13","Barcelonès","Metropolità","080765","Esparreguera","11","Baix Llobregat","Metropolità","Hispano Igualadina",,"2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.870708537","41.53896619","POINT (1.870708537 41.53896619)"
"2022","Barcelona","Línia exprés - Corredor","e8","080193","Barcelona","13","Barcelonès","Metropolità","080728","Corbera de Llobregat","11","Baix Llobregat","Metropolità","Autocorb","1.228.801","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.927701004","41.41610239","POINT (1.927701004 41.41610239)"
"2022","Tarragona","Línia exprés - Corredor","e3","431554","Tortosa","9","Baix Ebre","Terres de l'Ebre","430043","Alcanar","22","Montsià","Terres de l'Ebre","HIFE","414.694","0.520955976","40.810905","POINT (0.520955976 40.810905)","0.481966932","40.5428638","POINT (0.481966932 40.5428638)"
"2022","Lleida","Línia exprés - Corredor","e4","251207","Lleida","33","Segrià","Ponent","250236","Alpicat","33","Segrià","Ponent","Autocars Morell","142.254","0.626842574","41.61473059","POINT (0.626842574 41.61473059)","0.55507915","41.66636078","POINT (0.55507915 41.66636078)"
"2022","Barcelona","Línia exprés - Corredor","e22","080193","Barcelona","13","Barcelonès","Metropolità","081136","Manresa","7","Bages","Comarques Centrals","Hispano Igualadina","252.753","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.826928753","41.72305529","POINT (1.826928753 41.72305529)"
"2022","Barcelona","Línia exprés - Corredor","e4","080193","Barcelona","13","Barcelonès","Metropolità","081803","Ripollet","40","Vallès Occidental","Metropolità","R. Font","1.013.325","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","2.15349201","41.49650163","POINT (2.15349201 41.49650163)"
"2022","Barcelona","Línia exprés - Corredor","e3","080193","Barcelona","13","Barcelonès","Metropolità","082665","Cerdanyola UAB","40","Vallès Occidental","Metropolità","Marfina","1.480.573","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","2.140715332","41.49102342","POINT (2.140715332 41.49102342)"
"2022","Barcelona","Línia exprés - Corredor","e20","080193","Barcelona","13","Barcelonès","Metropolità","082896","Torrelles de Llobregat (per St. Vicenç dels Horts)","11","Baix Llobregat","Metropolità","Soler i Sauret","778.526","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.981109195","41.35904782","POINT (1.981109195 41.35904782)"
"2022","Tarragona","Línia exprés - Corredor","e7","431482","Tarragona","36","Tarragonès","Camp de Tarragona","430385","Cambrils","8","Baix Camp","Camp de Tarragona","Plana","211.952","1.254358212","41.11743424","POINT (1.254358212 41.11743424)","1.057802277","41.07103393","POINT (1.057802277 41.07103393)"
"2022","Barcelona","Línia exprés - Corredor","e15","080193","Barcelona","13","Barcelonès","Metropolità","NA","Vilanova i la Geltrú","17","Garraf","Penedès","Cintoi","562.992","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.726180234","41.22411114","POINT (1.726180234 41.22411114)"
"2022","Girona","Línia exprés - Corredor","e5","170792","Girona","20","Gironès","Comarques Gironines","170097","Arbúcies (per Sta. Coloma Farners i St. Hilari)","34","Selva","Comarques Gironines","TEISA","225.863","2.824865628","41.98315544","POINT (2.824865628 41.98315544)","2.513754625","41.81600431","POINT (2.513754625 41.81600431)"
"2022","Lleida","Línia exprés - Corredor","e5","251207","Lleida","33","Segrià","Ponent","250194","Almacelles","33","Segrià","Ponent","Gamón","138.248","0.626842574","41.61473059","POINT (0.626842574 41.61473059)","0.436732426","41.73158197","POINT (0.436732426 41.73158197)"
"2022","Barcelona","Línia exprés - Corredor","e5","080193","Barcelona","13","Barcelonès","Metropolità","081022","Igualada","6","Anoia","Penedès","Hispano Igualadina","897.460","2.177241106","41.38240539","POINT (2.177241106 41.38240539)","1.617581375","41.57871621","POINT (1.617581375 41.57871621)"
"2022","Lleida","Línia exprés - Corredor","e3","251207","Lleida","33","Segrià","Ponent","250117","Alcarràs","33","Segrià","Ponent","Gamón","164.308","0.626842574","41.61473059","POINT (0.626842574 41.61473059)","0.524318402","41.56287362","POINT (0.524318402 41.56287362)"
